cidade,uf,regiao,codmun,pop_dou_2017,Jornal,Online,Rádio,Revista,Televisão,tipos_existentes,total_fontes,fontes_100k_hab
ABADIA DE GOIÁS,GO,Centro-Oeste,5200050,8207,0,0,1,0,0,Rádio,1,12.184720360667722
ABADIA DOS DOURADOS,MG,Sudeste,3100104,7059,0,0,0,0,1,Televisão,1,14.166312508853945
ABADIÂNIA,GO,Centro-Oeste,5200100,18775,0,0,0,0,0,Nenhum,0,0
ABAETÉ,MG,Sudeste,3100203,23611,1,0,1,0,1,Vários,3,12.705942145610098
ABAETETUBA,PA,Norte,1500107,153380,0,0,2,0,1,Vários,3,1.9559264571652106
ABAIARA,CE,Nordeste,2300101,11605,0,0,0,0,0,Nenhum,0,0
ABAÍRA,BA,Nordeste,2900108,9199,0,0,1,0,0,Rádio,1,10.870746820306556
ABARÉ,BA,Nordeste,2900207,20189,0,0,1,0,0,Rádio,1,4.953192332458269
ABATIÁ,PR,Sul,4100103,7768,0,0,0,0,0,Nenhum,0,0
ABDON BATISTA,SC,Sul,4200051,2604,0,0,0,0,1,Televisão,1,38.40245775729647
ABEL FIGUEIREDO,PA,Norte,1500131,7231,0,0,0,0,1,Televisão,1,13.829345871940257
ABELARDO LUZ,SC,Sul,4200101,17847,2,0,1,0,1,Vários,4,22.412730430884743
ABRE CAMPO,MG,Sudeste,3100302,13733,1,0,1,0,1,Vários,3,21.845190417243135
ABREU E LIMA,PE,Nordeste,2600054,99364,0,0,0,0,0,Nenhum,0,0
ABREULÂNDIA,TO,Norte,1700251,2571,0,0,0,0,0,Nenhum,0,0
ACAIACA,MG,Sudeste,3100401,4065,0,0,0,0,1,Televisão,1,24.600246002460022
AÇAILÂNDIA,MA,Nordeste,2100055,111339,1,0,4,0,3,Vários,8,7.185263025534629
ACAJUTIBA,BA,Nordeste,2900306,15727,0,0,0,0,1,Televisão,1,6.358491765753163
ACARÁ,PA,Norte,1500206,54096,0,0,0,0,0,Nenhum,0,0
ACARAPE,CE,Nordeste,2300150,16543,0,0,0,0,0,Nenhum,0,0
ACARAÚ,CE,Nordeste,2300200,62199,0,0,1,0,0,Rádio,1,1.60774288975707
ACARI,RN,Nordeste,2400109,11333,0,0,0,0,0,Nenhum,0,0
ACAUÃ,PI,Nordeste,2200053,6966,0,0,0,0,0,Nenhum,0,0
ACEGUÁ,RS,Sul,4300034,4759,0,0,0,0,0,Nenhum,0,0
ACOPIARA,CE,Nordeste,2300309,53572,1,0,2,0,1,Vários,4,7.466587023071754
ACORIZAL,MT,Centro-Oeste,5100102,5269,0,0,0,0,0,Nenhum,0,0
ACRELÂNDIA,AC,Norte,1200013,14366,0,0,0,0,0,Nenhum,0,0
ACREÚNA,GO,Centro-Oeste,5200134,22076,0,0,1,0,0,Rádio,1,4.52980612429788
AÇU,RN,Nordeste,2400208,58183,1,0,2,0,0,Vários,3,5.156145265799289
AÇUCENA,MG,Sudeste,3100500,9997,0,0,0,0,0,Nenhum,0,0
ADAMANTINA,SP,Sudeste,3500105,35139,4,0,5,0,1,Vários,10,28.45840803665443
ADELÂNDIA,GO,Centro-Oeste,5200159,2564,0,0,0,0,0,Nenhum,0,0
ADOLFO,SP,Sudeste,3500204,3609,0,0,0,0,0,Nenhum,0,0
ADRIANÓPOLIS,PR,Sul,4100202,6254,0,0,0,0,1,Televisão,1,15.98976654940838
ADUSTINA,BA,Nordeste,2900355,17349,0,0,0,0,0,Nenhum,0,0
AFOGADOS DA INGAZEIRA,PE,Nordeste,2600104,37017,0,0,1,0,0,Rádio,1,2.7014614906664507
AFONSO BEZERRA,RN,Nordeste,2400307,11211,0,0,0,0,0,Nenhum,0,0
AFONSO CLÁUDIO,ES,Sudeste,3200102,32361,1,0,1,0,1,Vários,3,9.270418095856122
AFONSO CUNHA,MA,Nordeste,2100105,6486,0,0,0,0,0,Nenhum,0,0
AFRÂNIO,PE,Nordeste,2600203,19411,0,0,1,0,0,Rádio,1,5.151718097985678
AFUÁ,PA,Norte,1500305,38144,0,0,0,0,0,Nenhum,0,0
AGRESTINA,PE,Nordeste,2600302,24644,0,0,0,0,0,Nenhum,0,0
AGRICOLÂNDIA,PI,Nordeste,2200103,5062,0,0,0,0,0,Nenhum,0,0
AGROLÂNDIA,SC,Sul,4200200,10581,0,0,0,0,1,Televisão,1,9.450902561194594
AGRONÔMICA,SC,Sul,4200309,5437,0,0,0,0,1,Televisão,1,18.39249586168843
ÁGUA AZUL DO NORTE,PA,Norte,1500347,26682,0,0,0,0,0,Nenhum,0,0
ÁGUA BOA,MG,Sudeste,3100609,14370,0,0,0,0,0,Nenhum,0,0
ÁGUA BOA,MT,Centro-Oeste,5100201,24501,1,0,1,0,1,Vários,3,12.244398187829068
ÁGUA BRANCA,AL,Nordeste,2700102,20467,0,0,0,0,0,Nenhum,0,0
ÁGUA BRANCA,PB,Nordeste,2500106,10258,0,0,0,0,0,Nenhum,0,0
ÁGUA BRANCA,PI,Nordeste,2200202,17119,0,1,1,0,0,Vários,2,11.682925404521292
ÁGUA CLARA,MS,Centro-Oeste,5000203,14992,0,0,0,0,1,Televisão,1,6.670224119530417
ÁGUA COMPRIDA,MG,Sudeste,3100708,2058,0,0,0,0,0,Nenhum,0,0
ÁGUA DOCE,SC,Sul,4200408,7154,0,0,0,0,1,Televisão,1,13.97819401733296
ÁGUA DOCE DO MARANHÃO,MA,Nordeste,2100154,12457,0,0,0,0,0,Nenhum,0,0
ÁGUA DOCE DO NORTE,ES,Sudeste,3200169,11893,0,0,0,0,0,Nenhum,0,0
ÁGUA FRIA,BA,Nordeste,2900405,17508,0,0,0,0,0,Nenhum,0,0
ÁGUA FRIA DE GOIÁS,GO,Centro-Oeste,5200175,5613,0,0,0,0,0,Nenhum,0,0
ÁGUA LIMPA,GO,Centro-Oeste,5200209,1967,0,0,0,0,0,Nenhum,0,0
ÁGUA NOVA,RN,Nordeste,2400406,3260,0,0,0,0,0,Nenhum,0,0
ÁGUA PRETA,PE,Nordeste,2600401,36371,0,0,0,0,0,Nenhum,0,0
ÁGUA SANTA,RS,Sul,4300059,3841,0,0,0,0,0,Nenhum,0,0
AGUAÍ,SP,Sudeste,3500303,35508,4,0,1,0,0,Vários,5,14.081333783936014
AGUANIL,MG,Sudeste,3100807,4440,0,0,0,0,1,Televisão,1,22.52252252252252
ÁGUAS BELAS,PE,Nordeste,2600500,43087,0,0,0,0,1,Televisão,1,2.3208856499640262
ÁGUAS CLARAS,DF,Centro-Oeste,NA,NA,1,0,0,0,0,Jornal,1,NA
ÁGUAS DA PRATA,SP,Sudeste,3500402,8104,0,0,1,0,1,Vários,2,24.679170779861796
ÁGUAS DE CHAPECÓ,SC,Sul,4200507,6445,0,0,0,0,1,Televisão,1,15.51590380139643
ÁGUAS DE LINDÓIA,SP,Sudeste,3500501,18509,1,0,0,0,1,Vários,2,10.805554054784158
ÁGUAS DE SANTA BÁRBARA,SP,Sudeste,3500550,6009,0,0,0,0,1,Televisão,1,16.641704110500914
ÁGUAS DE SÃO PEDRO,SP,Sudeste,3500600,3268,0,0,1,0,0,Rádio,1,30.59975520195838
ÁGUAS FORMOSAS,MG,Sudeste,3100906,19416,0,0,1,0,1,Vários,2,10.300782859497321
ÁGUAS FRIAS,SC,Sul,4200556,2387,0,0,0,0,0,Nenhum,0,0
ÁGUAS LINDAS DE GOIÁS,GO,Centro-Oeste,5200258,195810,1,1,0,0,1,Vários,3,1.532097441397273
ÁGUAS MORNAS,SC,Sul,4200606,6298,0,0,0,0,0,Nenhum,0,0
ÁGUAS VERMELHAS,MG,Sudeste,3101003,13576,0,0,0,0,1,Televisão,1,7.365939893930466
AGUDO,RS,Sul,4300109,17085,2,0,1,0,1,Vários,4,23.412350014632718
AGUDOS,SP,Sudeste,3500709,36880,1,0,0,0,0,Jornal,1,2.7114967462039044
AGUDOS DO SUL,PR,Sul,4100301,9161,0,0,0,0,0,Nenhum,0,0
ÁGUIA BRANCA,ES,Sudeste,3200136,10085,0,0,0,0,0,Nenhum,0,0
AGUIAR,PB,Nordeste,2500205,5562,0,0,0,0,0,Nenhum,0,0
AGUIARNÓPOLIS,TO,Norte,1700301,6460,0,0,0,0,0,Nenhum,0,0
AIMORÉS,MG,Sudeste,3101102,25711,0,0,2,0,1,Vários,3,11.66815759791529
AIQUARA,BA,Nordeste,2900603,4725,0,0,0,0,0,Nenhum,0,0
AIUABA,CE,Nordeste,2300408,17194,0,0,0,0,0,Nenhum,0,0
AIURUOCA,MG,Sudeste,3101201,6209,0,0,0,0,1,Televisão,1,16.105653084232568
AJURICABA,RS,Sul,4300208,7358,0,0,0,0,1,Televisão,1,13.59064963305246
ALAGOA,MG,Sudeste,3101300,2752,0,0,0,0,0,Nenhum,0,0
ALAGOA GRANDE,PB,Nordeste,2500304,28565,0,0,0,0,1,Televisão,1,3.500787677227376
ALAGOA NOVA,PB,Nordeste,2500403,20689,0,0,0,0,0,Nenhum,0,0
ALAGOINHA,PB,Nordeste,2500502,14464,0,0,0,0,0,Nenhum,0,0
ALAGOINHA,PE,Nordeste,2600609,14517,0,0,0,0,0,Nenhum,0,0
ALAGOINHA DO PIAUÍ,PI,Nordeste,2200251,7526,0,0,0,0,0,Nenhum,0,0
ALAGOINHAS,BA,Nordeste,2900702,155979,2,1,3,0,0,Vários,6,3.8466716673398342
ALAMBARI,SP,Sudeste,3500758,5754,0,0,0,0,0,Nenhum,0,0
ALBERTINA,MG,Sudeste,3101409,3046,0,0,0,0,1,Televisão,1,32.829940906106366
ALCÂNTARA,MA,Nordeste,2100204,21673,0,0,0,0,0,Nenhum,0,0
ALCÂNTARAS,CE,Nordeste,2300507,11459,0,0,0,0,0,Nenhum,0,0
ALCANTIL,PB,Nordeste,2500536,5499,0,0,0,0,0,Nenhum,0,0
ALCINÓPOLIS,MS,Centro-Oeste,5000252,5188,0,0,1,0,0,Rádio,1,19.275250578257516
ALCOBAÇA,BA,Nordeste,2900801,23376,0,0,1,0,1,Vários,2,8.555783709787816
ALDEIAS ALTAS,MA,Nordeste,2100303,26387,0,0,0,0,1,Televisão,1,3.789744950164854
ALECRIM,RS,Sul,4300307,6736,0,0,0,0,1,Televisão,1,14.84560570071259
ALEGRE,ES,Sudeste,3200201,32146,0,0,1,0,1,Vários,2,6.221613886642195
ALEGRETE,RS,Sul,4300406,78003,7,0,4,0,1,Vários,12,15.384023691396486
ALEGRETE DO PIAUÍ,PI,Nordeste,2200277,4838,0,0,0,0,0,Nenhum,0,0
ALEGRIA,RS,Sul,4300455,4037,0,0,0,0,0,Nenhum,0,0
ALÉM PARAÍBA,MG,Sudeste,3101508,35866,3,0,3,0,1,Vários,7,19.517091395750853
ALENQUER,PA,Norte,1500404,55246,0,0,1,0,2,Vários,3,5.430257394200486
ALEXANDRIA,RN,Nordeste,2400505,13827,0,0,0,0,1,Televisão,1,7.23222680263253
ALEXÂNIA,GO,Centro-Oeste,5200308,26770,1,0,1,0,0,Vários,2,7.471049682480388
ALFENAS,MG,Sudeste,3101607,79707,1,0,3,0,2,Vários,6,7.527569724114569
ALFREDO CHAVES,ES,Sudeste,3200300,15082,0,0,1,0,1,Vários,2,13.260840737302745
ALFREDO MARCONDES,SP,Sudeste,3500808,4135,0,0,0,0,0,Nenhum,0,0
ALFREDO VASCONCELOS,MG,Sudeste,3101631,6775,0,0,0,0,0,Nenhum,0,0
ALFREDO WAGNER,SC,Sul,4200705,9960,0,0,0,0,1,Televisão,1,10.040160642570282
ALGODÃO DE JANDAÍRA,PB,Nordeste,2500577,2501,0,0,0,0,0,Nenhum,0,0
ALHANDRA,PB,Nordeste,2500601,19579,0,0,0,0,0,Nenhum,0,0
ALIANÇA,PE,Nordeste,2600708,38267,0,0,0,0,0,Nenhum,0,0
ALIANÇA DO TOCANTINS,TO,Norte,1700350,5527,0,0,0,0,1,Televisão,1,18.09299800977022
ALMADINA,BA,Nordeste,2900900,5985,0,0,0,0,0,Nenhum,0,0
ALMAS,TO,Norte,1700400,7273,0,0,0,0,0,Nenhum,0,0
ALMEIRIM,PA,Norte,1500503,33195,0,0,0,0,1,Televisão,1,3.0125018828136767
ALMENARA,MG,Sudeste,3101706,41794,3,0,1,0,0,Vários,4,9.57075178255252
ALMINO AFONSO,RN,Nordeste,2400604,4854,0,0,0,0,1,Televisão,1,20.601565718994642
ALMIRANTE TAMANDARÉ,PR,Sul,4100400,115364,1,2,2,0,0,Vários,5,4.334107693907978
ALMIRANTE TAMANDARÉ DO SUL,RS,Sul,4300471,2079,0,0,0,0,0,Nenhum,0,0
ALOÂNDIA,GO,Centro-Oeste,5200506,2071,0,0,0,0,0,Nenhum,0,0
ALPERCATA,MG,Sudeste,3101805,7515,0,0,0,0,0,Nenhum,0,0
ALPESTRE,RS,Sul,4300505,7433,0,0,2,0,0,Rádio,2,26.907036189963677
ALPINÓPOLIS,MG,Sudeste,3101904,19846,0,1,0,0,1,Vários,2,10.07759750075582
ALTA FLORESTA,MT,Centro-Oeste,5100250,50189,5,1,3,0,2,Vários,11,21.91715316105123
ALTA FLORESTA D'OESTE,RO,Norte,1100015,25437,0,0,0,0,0,Nenhum,0,0
ALTAIR,SP,Sudeste,3500907,4109,0,0,0,0,0,Nenhum,0,0
ALTAMIRA,PA,Norte,1500602,111435,0,1,3,0,5,Vários,9,8.076457127473414
ALTAMIRA DO MARANHÃO,MA,Nordeste,2100402,8070,0,0,0,0,0,Nenhum,0,0
ALTAMIRA DO PARANÁ,PR,Sul,4100459,2948,0,0,0,0,1,Televisão,1,33.921302578018995
ALTANEIRA,CE,Nordeste,2300606,7479,0,0,0,0,0,Nenhum,0,0
ALTEROSA,MG,Sudeste,3102001,14551,0,0,1,0,0,Rádio,1,6.872379905161158
ALTINHO,PE,Nordeste,2600807,22896,0,0,0,0,1,Televisão,1,4.367575122292103
ALTINÓPOLIS,SP,Sudeste,3501004,16219,1,0,2,0,1,Vários,4,24.662432949010416
ALTO ALEGRE,RR,Norte,1400050,15933,0,0,0,0,1,Televisão,1,6.276281930584322
ALTO ALEGRE,RS,Sul,4300554,1803,0,0,0,0,0,Nenhum,0,0
ALTO ALEGRE,SP,Sudeste,3501103,4154,0,0,0,0,0,Nenhum,0,0
ALTO ALEGRE DO MARANHÃO,MA,Nordeste,2100436,26872,0,0,0,0,0,Nenhum,0,0
ALTO ALEGRE DO PINDARÉ,MA,Nordeste,2100477,31312,0,0,0,0,0,Nenhum,0,0
ALTO ALEGRE DOS PARECIS,RO,Norte,1100379,14045,0,0,0,0,0,Nenhum,0,0
ALTO ARAGUAIA,MT,Centro-Oeste,5100300,18164,0,0,2,0,1,Vários,3,16.5161858621449
ALTO BELA VISTA,SC,Sul,4200754,1967,0,0,0,0,0,Nenhum,0,0
ALTO BOA VISTA,MT,Centro-Oeste,5100359,6466,0,0,0,0,0,Nenhum,0,0
ALTO CAPARAÓ,MG,Sudeste,3102050,5791,0,0,0,0,0,Nenhum,0,0
ALTO DO RODRIGUES,RN,Nordeste,2400703,14365,0,0,0,0,0,Nenhum,0,0
ALTO FELIZ,RS,Sul,4300570,3040,0,0,0,0,0,Nenhum,0,0
ALTO GARÇAS,MT,Centro-Oeste,5100409,11532,0,0,0,0,1,Televisão,1,8.671522719389525
ALTO HORIZONTE,GO,Centro-Oeste,5200555,5784,0,0,0,0,0,Nenhum,0,0
ALTO JEQUITIBÁ,MG,Sudeste,3153509,8522,0,0,0,0,0,Nenhum,0,0
ALTO LONGÁ,PI,Nordeste,2200301,14070,0,0,0,0,0,Nenhum,0,0
ALTO PARAGUAI,MT,Centro-Oeste,5100508,10921,0,0,0,0,0,Nenhum,0,0
ALTO PARAÍSO,PR,Sul,4128625,2998,0,0,0,0,0,Nenhum,0,0
ALTO PARAÍSO,RO,Norte,1100403,20916,0,0,0,0,0,Nenhum,0,0
ALTO PARAÍSO DE GOIÁS,GO,Centro-Oeste,5200605,7514,1,1,0,0,0,Vários,2,26.616981634282673
ALTO PARANÁ,PR,Sul,4100608,14693,0,0,1,0,1,Vários,2,13.611924045463827
ALTO PARNAÍBA,MA,Nordeste,2100501,11001,0,0,0,0,1,Televisão,1,9.09008271975275
ALTO PIQUIRI,PR,Sul,4100707,10222,0,0,1,0,1,Vários,2,19.565642731363724
ALTO RIO DOCE,MG,Sudeste,3102100,11693,0,0,0,0,2,Televisão,2,17.104250406225948
ALTO RIO NOVO,ES,Sudeste,3200359,8022,0,0,0,0,0,Nenhum,0,0
ALTO SANTO,CE,Nordeste,2300705,16976,0,0,0,0,0,Nenhum,0,0
ALTO TAQUARI,MT,Centro-Oeste,5100607,10246,0,0,0,0,0,Nenhum,0,0
ALTÔNIA,PR,Sul,4100509,21988,0,2,1,0,0,Vários,3,13.643805712206658
ALTOS,PI,Nordeste,2200400,39864,0,0,2,0,1,Vários,3,7.525586995785671
ALUMÍNIO,SP,Sudeste,3501152,18324,2,0,0,0,0,Jornal,2,10.914647456887142
ALVARÃES,AM,Norte,1300029,15908,0,0,0,0,0,Nenhum,0,0
ALVARENGA,MG,Sudeste,3102209,4199,0,0,0,0,1,Televisão,1,23.815194093831863
ÁLVARES FLORENCE,SP,Sudeste,3501202,3795,0,0,0,0,0,Nenhum,0,0
ÁLVARES MACHADO,SP,Sudeste,3501301,24813,0,0,0,0,0,Nenhum,0,0
ÁLVARO DE CARVALHO,SP,Sudeste,3501400,5119,0,0,0,0,0,Nenhum,0,0
ALVINLÂNDIA,SP,Sudeste,3501509,3196,0,0,0,0,0,Nenhum,0,0
ALVINÓPOLIS,MG,Sudeste,3102308,15599,0,0,0,0,1,Televisão,1,6.410667350471184
ALVORADA,RS,Sul,4300604,208177,7,1,1,0,0,Vários,9,4.3232441624194795
ALVORADA,TO,Norte,1700707,8516,0,0,0,0,0,Nenhum,0,0
ALVORADA D'OESTE,RO,Norte,1100346,16747,1,0,0,0,0,Jornal,1,5.971218725741924
ALVORADA DE MINAS,MG,Sudeste,3102407,3673,0,0,0,0,1,Televisão,1,27.225701061802344
ALVORADA DO GURGUÉIA,PI,Nordeste,2200459,5326,0,0,0,0,0,Nenhum,0,0
ALVORADA DO NORTE,GO,Centro-Oeste,5200803,8645,0,0,0,0,1,Televisão,1,11.56737998843262
ALVORADA DO SUL,PR,Sul,4100806,11237,0,0,0,0,0,Nenhum,0,0
AMAJARI,RR,Norte,1400027,11560,0,0,0,0,0,Nenhum,0,0
AMAMBAI,MS,Centro-Oeste,5000609,38465,2,0,1,0,1,Vários,4,10.39906408423242
AMAPÁ,AP,Norte,1600105,8757,0,0,0,0,0,Nenhum,0,0
AMAPÁ DO MARANHÃO,MA,Nordeste,2100550,6895,0,0,0,0,0,Nenhum,0,0
AMAPORÃ,PR,Sul,4100905,6084,0,0,0,0,0,Nenhum,0,0
AMARAJI,PE,Nordeste,2600906,22726,0,0,0,0,0,Nenhum,0,0
AMARAL FERRADOR,RS,Sul,4300638,6854,0,0,1,0,0,Rádio,1,14.590020426028595
AMARALINA,GO,Centro-Oeste,5200829,3754,0,0,0,0,0,Nenhum,0,0
AMARANTE,PI,Nordeste,2200509,17322,0,0,1,0,0,Rádio,1,5.773005426625101
AMARANTE DO MARANHÃO,MA,Nordeste,2100600,41106,0,0,0,0,1,Televisão,1,2.4327348805527174
AMARGOSA,BA,Nordeste,2901007,38259,0,0,1,0,1,Vários,2,5.22752816330798
AMATURÁ,AM,Norte,1300060,11242,0,0,0,0,0,Nenhum,0,0
AMÉLIA RODRIGUES,BA,Nordeste,2901106,26409,0,0,2,0,0,Rádio,2,7.573175811276459
AMÉRICA DOURADA,BA,Nordeste,2901155,16798,0,0,1,0,0,Rádio,1,5.953089653530182
AMERICANA,SP,Sudeste,3501608,233868,2,2,5,0,3,Vários,12,5.131099594643132
AMERICANO DO BRASIL,GO,Centro-Oeste,5200852,6018,0,0,0,0,0,Nenhum,0,0
AMÉRICO BRASILIENSE,SP,Sudeste,3501707,39189,0,0,0,0,0,Nenhum,0,0
AMÉRICO DE CAMPOS,SP,Sudeste,3501806,5967,0,0,0,0,1,Televisão,1,16.758840288252053
AMETISTA DO SUL,RS,Sul,4300646,7576,0,0,0,0,0,Nenhum,0,0
AMONTADA,CE,Nordeste,2300754,42901,0,0,2,0,0,Rádio,2,4.661895993100394
AMORINÓPOLIS,GO,Centro-Oeste,5200902,3408,0,0,0,0,0,Nenhum,0,0
AMPARO,PB,Nordeste,2500734,2246,0,0,0,0,0,Nenhum,0,0
AMPARO,SP,Sudeste,3501905,71193,2,0,5,0,1,Vários,8,11.237059823297233
AMPARO DE SÃO FRANCISCO,SE,Nordeste,2800100,2390,0,0,0,0,0,Nenhum,0,0
AMPARO DO SERRA,MG,Sudeste,3102506,4924,0,0,0,0,1,Televisão,1,20.308692120227455
AMPÉRE,PR,Sul,4101002,18886,0,0,1,0,0,Rádio,1,5.294927459493804
ANADIA,AL,Nordeste,2700201,17818,0,0,0,0,1,Televisão,1,5.612302166348637
ANAGÉ,BA,Nordeste,2901205,19568,0,0,0,0,1,Televisão,1,5.110384300899428
ANAHY,PR,Sul,4101051,2901,0,0,0,0,0,Nenhum,0,0
ANAJÁS,PA,Norte,1500701,28466,0,0,0,0,0,Nenhum,0,0
ANAJATUBA,MA,Nordeste,2100709,27352,0,0,0,0,1,Televisão,1,3.6560397777127815
ANALÂNDIA,SP,Sudeste,3502002,4845,0,0,0,0,0,Nenhum,0,0
ANAMÃ,AM,Norte,1300086,12978,0,0,0,0,0,Nenhum,0,0
ANANÁS,TO,Norte,1701002,9749,0,0,0,0,0,Nenhum,0,0
ANANINDEUA,PA,Norte,1500800,516057,0,1,1,0,1,Vários,3,0.5813311320261134
ANÁPOLIS,GO,Centro-Oeste,5201108,375142,7,2,7,0,3,Vários,19,5.064748815115343
ANAPU,PA,Norte,1500859,27096,0,0,0,0,0,Nenhum,0,0
ANAPURUS,MA,Nordeste,2100808,15696,0,0,0,0,0,Nenhum,0,0
ANASTÁCIO,MS,Centro-Oeste,5000708,24954,0,0,1,0,1,Vários,2,8.014747134727898
ANAURILÂNDIA,MS,Centro-Oeste,5000807,8927,0,0,0,0,0,Nenhum,0,0
ANCHIETA,ES,Sudeste,3200409,28546,3,0,0,0,1,Vários,4,14.012471099278358
ANCHIETA,SC,Sul,4200804,5832,0,0,0,0,1,Televisão,1,17.146776406035663
ANDARAÍ,BA,Nordeste,2901304,13737,0,0,0,0,1,Televisão,1,7.279609812914028
ANDIRÁ,PR,Sul,4101101,20769,2,0,3,0,0,Vários,5,24.07434156675815
ANDORINHA,BA,Nordeste,2901353,15490,0,0,0,0,0,Nenhum,0,0
ANDRADAS,MG,Sudeste,3102605,40706,2,0,2,0,2,Vários,6,14.739841792364762
ANDRADINA,SP,Sudeste,3502101,57350,7,3,6,1,1,Vários,18,31.386224934612027
ANDRÉ DA ROCHA,RS,Sul,4300661,1306,0,0,0,0,1,Televisão,1,76.5696784073507
ANDRELÂNDIA,MG,Sudeste,3102803,12507,0,0,1,0,0,Rádio,1,7.995522507395858
ANGATUBA,SP,Sudeste,3502200,24634,1,0,0,0,1,Vários,2,8.118860112040268
ANGELÂNDIA,MG,Sudeste,3102852,8541,0,0,0,0,0,Nenhum,0,0
ANGÉLICA,MS,Centro-Oeste,5000856,10458,0,0,0,0,0,Nenhum,0,0
ANGELIM,PE,Nordeste,2601003,11045,0,0,0,0,0,Nenhum,0,0
ANGELINA,SC,Sul,4200903,4943,0,0,0,0,1,Televisão,1,20.230629172567266
ANGICAL,BA,Nordeste,2901403,14690,0,0,0,0,0,Nenhum,0,0
ANGICAL DO PIAUÍ,PI,Nordeste,2200608,6684,0,0,0,0,0,Nenhum,0,0
ANGICO,TO,Norte,1701051,3423,0,0,0,0,0,Nenhum,0,0
ANGICOS,RN,Nordeste,2400802,11909,0,0,0,0,1,Televisão,1,8.397010664203544
ANGRA DOS REIS,RJ,Sudeste,3300100,194619,5,0,3,0,2,Vários,10,5.13824446739527
ANGUERA,BA,Nordeste,2901502,11481,0,0,0,0,0,Nenhum,0,0
ÂNGULO,PR,Sul,4101150,2974,0,0,0,0,0,Nenhum,0,0
ANHANGUERA,GO,Centro-Oeste,5201207,1126,0,0,0,0,1,Televisão,1,88.80994671403198
ANHEMBI,SP,Sudeste,3502309,6484,0,0,0,0,0,Nenhum,0,0
ANHUMAS,SP,Sudeste,3502408,4053,0,0,0,0,0,Nenhum,0,0
ANICUNS,GO,Centro-Oeste,5201306,21746,0,0,0,0,1,Televisão,1,4.598546859192496
ANÍSIO DE ABREU,PI,Nordeste,2200707,9705,0,0,0,0,0,Nenhum,0,0
ANITA GARIBALDI,SC,Sul,4201000,7537,1,0,0,0,1,Vários,2,26.535756932466498
ANITÁPOLIS,SC,Sul,4201109,3248,0,0,0,0,1,Televisão,1,30.788177339901477
ANORI,AM,Norte,1300102,20196,0,0,1,0,0,Rádio,1,4.951475539710834
ANTA GORDA,RS,Sul,4300703,6210,0,0,0,0,0,Nenhum,0,0
ANTAS,BA,Nordeste,2901601,19569,0,0,0,0,0,Nenhum,0,0
ANTONINA,PR,Sul,4101200,19420,1,0,1,0,0,Vários,2,10.298661174047375
ANTONINA DO NORTE,CE,Nordeste,2300804,7278,0,0,0,0,0,Nenhum,0,0
ANTÔNIO ALMEIDA,PI,Nordeste,2200806,3114,0,0,0,0,0,Nenhum,0,0
ANTÔNIO CARDOSO,BA,Nordeste,2901700,12208,0,0,0,0,0,Nenhum,0,0
ANTÔNIO CARLOS,MG,Sudeste,3102902,11608,0,0,0,0,0,Nenhum,0,0
ANTÔNIO CARLOS,SC,Sul,4201208,8327,0,0,0,0,0,Nenhum,0,0
ANTÔNIO DIAS,MG,Sudeste,3103009,9637,0,0,0,0,1,Televisão,1,10.376673238559718
ANTÔNIO GONÇALVES,BA,Nordeste,2901809,12072,0,0,0,0,0,Nenhum,0,0
ANTÔNIO JOÃO,MS,Centro-Oeste,5000906,8808,0,0,0,0,1,Televisão,1,11.353315168029065
ANTÔNIO MARTINS,RN,Nordeste,2400901,7237,0,0,0,0,0,Nenhum,0,0
ANTÔNIO OLINTO,PR,Sul,4101309,7587,0,0,0,0,0,Nenhum,0,0
ANTÔNIO PRADO,RS,Sul,4300802,13306,1,0,2,0,1,Vários,4,30.06162633398467
ANTÔNIO PRADO DE MINAS,MG,Sudeste,3103108,1664,0,0,0,0,1,Televisão,1,60.09615384615385
APARECIDA,PB,Nordeste,2500775,8430,0,0,0,0,0,Nenhum,0,0
APARECIDA,SP,Sudeste,3502507,36279,1,0,2,0,2,Vários,5,13.782077786047024
APARECIDA D'OESTE,SP,Sudeste,3502606,4329,0,0,0,0,0,Nenhum,0,0
APARECIDA DE GOIÂNIA,GO,Centro-Oeste,5201405,542090,11,4,2,0,2,Vários,19,3.5049530520762238
APARECIDA DO RIO DOCE,GO,Centro-Oeste,5201454,2517,0,0,0,0,0,Nenhum,0,0
APARECIDA DO RIO NEGRO,TO,Norte,1701101,4726,0,0,0,0,0,Nenhum,0,0
APARECIDA DO TABOADO,MS,Centro-Oeste,5001003,25072,2,0,1,0,1,Vários,4,15.954052329291642
APERIBÉ,RJ,Sudeste,3300159,11292,0,0,0,0,0,Nenhum,0,0
APIACÁ,ES,Sudeste,3200508,7932,0,0,0,0,1,Televisão,1,12.607160867372668
APIACÁS,MT,Centro-Oeste,5100805,9694,0,0,0,0,0,Nenhum,0,0
APIAÍ,SP,Sudeste,3502705,24945,1,0,1,0,1,Vários,3,12.026458208057727
APICUM-AÇU,MA,Nordeste,2100832,18374,0,0,0,0,1,Televisão,1,5.442473059758354
APIÚNA,SC,Sul,4201257,10542,2,0,0,0,1,Vários,3,28.457598178713717
APODI,RN,Nordeste,2401008,36323,0,0,2,0,1,Vários,3,8.259229689177655
APORÁ,BA,Nordeste,2901908,18334,0,0,0,0,0,Nenhum,0,0
